Code,Tax
 ,0-0
2,   1 -   49
3,  50 -   99
4, 100 -  149
5, 150 -  199
6, 200 -  249
7, 250 -  299
8, 300 -  349
9, 350 -  399
10, 400 -  449
11, 450 -  499
12, 500 -  549
13, 550 -  599
14, 600 -  649
15, 650 -  699
16, 700 -  749
17, 750 -  799
18, 800 -  849
19, 850 -  899
20, 900 -  949
21, 950 -  999
22,1000 - 1099
23,1100 - 1199
24,1200 - 1299
25,1300 - 1399
26,1400 - 1499
27,1500 - 1599
28,1600 - 1699
29,1700 - 1799
30,1800 - 1899
31,1900 - 1999
32,2000 - 2099
33,2100 - 2199
34,2200 - 2299
35,2300 - 2399
36,2400 - 2499
37,2500 - 2599
38,2600 - 2699
39,2700 - 2799
40,2800 - 2899
41,2900 - 2999
42,3000 - 3099
43,3100 - 3199
44,3200 - 3299
45,3300 - 3399
46,3400 - 3499
47,3500 - 3599
48,3600 - 3699
49,3700 - 3799
50,3800 - 3899
51,3900 - 3999
52,4000 - 4099
53,4100 - 4199
54,4200 - 4299
55,4300 - 4399
56,4400 - 4499
57,4500 - 4599
58,4600 - 4699
59,4700 - 4799
60,4800 - 4899
61,4900 - 4999
62,5000 - 5499
63,5500 - 5999
64,6000 - 6999
65,7000 - 7999
66,8000 - 8999
67,9000 - 9999
68,10000- 10000
